"Date","Open","High","Low","Close"
"11 Apr 2018","8236.95","8238.1","8163.05","8205.65"
"10 Apr 2018","8259.4","8272.3","8174.95","8215.05"
"09 Apr 2018","8231.25","8264.2","8199.35","8215.70"
"06 Apr 2018","8149.7","8219.9","8098.25","8204.95"
"05 Apr 2018","8051.55","8137.75","8050.15","8128.70"
"04 Apr 2018","8117","8164.75","7936.1","7946.75"
"03 Apr 2018","7912.55","8066.2","7906.45","8060.90"
"02 Apr 2018","7828.1","7938.85","7827.4","7929.20"
"28 Mar 2018","7836.8","7853.7","7779","7791.95"
"27 Mar 2018","7805.65","7886.6","7804.9","7868.50"
"26 Mar 2018","7675.3","7747.65","7610","7734.00"
"23 Mar 2018","7680.75","7699.45","7614.25","7681.40"
"22 Mar 2018","7992.5","8002","7846.75","7851.60"
"21 Mar 2018","8010.8","8076.2","7950.7","7966.00"
"20 Mar 2018","7885.3","7991.3","7851.35","7954.70"
"19 Mar 2018","8147.1","8168.85","7918.6","7934.30"
"16 Mar 2018","8237.7","8279.4","8099.2","8112.10"
"15 Mar 2018","8160.5","8236.45","8159.05","8223.00"
"14 Mar 2018","8118.7","8163.35","8087.75","8154.25"
"13 Mar 2018","8025.35","8202.9","8012.4","8157.85"
"12 Mar 2018","8031.3","8040.7","7938.75","8026.95"
"09 Mar 2018","8029.95","8046.1","7947.05","7964.10"
"08 Mar 2018","8012.5","8049.7","7827.5","7984.55"
"07 Mar 2018","8106.35","8107.25","7933.6","7953.85"
"06 Mar 2018","8313.2","8349.95","8104.05","8134.50"
"05 Mar 2018","8331.7","8331.7","8221.7","8250.75"
"01 Mar 2018","8377.65","8418.05","8332","8339.90"
"28 Feb 2018","8302.75","8369.05","8255.9","8356.50"
"27 Feb 2018","8431.9","8446.4","8346.2","8368.05"
"26 Feb 2018","8395.1","8417.35","8364.45","8394.25"
"23 Feb 2018","8218.4","8350.8","8215.25","8342.85"
"22 Feb 2018","8190.5","8222.5","8161.9","8186.40"
"21 Feb 2018","8301.3","8315.55","8205.35","8225.85"
"20 Feb 2018","8249","8296.7","8187.2","8249.95"
"19 Feb 2018","8372.85","8375.25","8144.55","8237.95"
"16 Feb 2018","8490.8","8512.45","8306.9","8356.95"
"15 Feb 2018","8625.1","8625.75","8412.45","8443.65"
"14 Feb 2018","8689.6","8704.4","8558.45","8574.40"
"12 Feb 2018","8567.95","8669.15","8563.75","8633.50"
"09 Feb 2018","8250.2","8509.4","8222.55","8482.05"
"08 Feb 2018","8315.35","8494.8","8301.8","8467.15"
"07 Feb 2018","8257.8","8317.9","8190.75","8269.05"
"06 Feb 2018","7828.35","8149.05","7777.2","8083.50"
"05 Feb 2018","8028.3","8350.95","7972.6","8313.65"
"02 Feb 2018","8650.7","8651.05","8120.95","8251.00"
"01 Feb 2018","8853.75","8893.5","8642.9","8783.30"
"31 Jan 2018","8897.55","8947.65","8753.1","8816.90"
"30 Jan 2018","9046.95","9051.35","8917.9","8923.40"
"29 Jan 2018","9282.6","9296","9055.7","9077.35"
"25 Jan 2018","9345.3","9352.5","9221.35","9232.15"
"24 Jan 2018","9381.5","9393","9287.8","9312.70"
"23 Jan 2018","9390.8","9421.15","9344.95","9388.55"
"22 Jan 2018","9324.6","9370.3","9297.35","9360.45"
"19 Jan 2018","9225.6","9295.9","9163.65","9288.85"
"18 Jan 2018","9531.95","9544.95","9140.95","9200.50"
"17 Jan 2018","9337.8","9448.45","9124.65","9435.30"
"16 Jan 2018","9610.5","9614.25","9324.95","9342.70"
"15 Jan 2018","9630.2","9656.55","9571.75","9580.30"
"12 Jan 2018","9614.9","9649.05","9465.95","9559.15"
"11 Jan 2018","9541.55","9628.65","9526.7","9565.85"
