Date,Open,High,Low,Close,change,lookback_mean,lookback_std
2002-12-11,1064.1,1076.95,1062.3,1069.7,0.005640688163956002,-0.0004134978642719326,0.015949351254773002
2002-12-12,1069.95,1078.85,1066.8,1077.0,0.006824343273815045,-0.0004036638409864883,0.01594073037385459
2002-12-13,1074.45,1087.35,1074.45,1086.2,0.008542246982358444,-0.00039152556307150196,0.015933305334552256
2002-12-16,1089.0,1100.0,1075.55,1078.4,-0.007180997974590273,-0.00040072539018738105,0.015924453413415886
2002-12-17,1078.7,1084.95,1069.0,1073.2,-0.004821958456973335,-0.00040670811422903995,0.015914491888335013
2002-12-18,1073.2,1083.65,1072.85,1077.9,0.004379426015654161,-0.00040024036540487346,0.015904693843702057
2002-12-19,1077.85,1079.9,1070.5,1076.0,-0.0017626867056314043,-0.00040207902443351924,0.015894022601683683
2002-12-20,1075.45,1084.95,1075.4,1079.3,0.003066914498141222,-0.00039740383100686863,0.015883804804302636
2002-12-23,1079.3,1082.6,1073.35,1076.0,-0.003057537292689664,-0.0004009840913859841,0.01587339782378814
2002-12-24,1075.95,1087.0,1072.65,1085.0,0.008364312267657992,-0.0003892027790754411,0.015865966943506817
2002-12-26,1085.05,1100.4,1085.05,1094.8,0.009032258064516087,-0.00037655652290954645,0.015859057599824707
2002-12-27,1095.65,1103.95,1095.6,1098.4,0.0032882718304714435,-0.00037164388436614033,0.01584897835849847
2002-12-30,1095.8,1095.8,1084.35,1091.9,-0.005917698470502548,-0.0003790683215631101,0.015839651996501003
2002-12-31,1091.85,1100.1,1091.7,1093.5,0.0014653356534480345,-0.0003766025408478546,0.01582918992517311
2003-01-01,1093.6,1102.1,1093.6,1100.1,0.006035665294924471,-0.0003680414355931518,0.015820340456993463
2003-01-02,1100.55,1105.6,1091.2,1093.0,-0.0064539587310243705,-0.00037615599198706013,0.015811337712418116
2003-01-03,1094.45,1099.85,1087.3,1089.6,-0.003110704483074191,-0.000379797201695565,0.01580110838265176
2003-01-06,1089.75,1093.05,1081.25,1084.3,-0.0048641703377385785,-0.0003857604638445583,0.015791431564419468
2003-01-07,1084.4,1089.85,1078.95,1081.8,-0.0023056349718712536,-0.00038831009798536407,0.015781083540276956
2003-01-08,1082.4,1091.45,1082.3,1089.3,0.006932889628397116,-0.0003786002840246446,0.01577285488841567
2003-01-09,1089.75,1099.15,1087.75,1097.3,0.007344165978151107,-0.0003683714545383191,0.015764897567902017
2003-01-10,1097.6,1103.25,1077.4,1080.2,-0.015583705458853467,-0.0003884975577186301,0.015764169475674016
2003-01-13,1080.25,1080.4,1070.75,1073.7,-0.006017404184410294,-0.00039593336567991366,0.015755068361200057
2003-01-14,1072.7,1080.8,1070.3,1078.9,0.004843066033342689,-0.0003890217569740791,0.015745808537439076
2003-01-15,1077.9,1087.5,1077.8,1085.0,0.0056539067568819245,-0.000381060059327365,0.01573694739753814
2003-01-16,1085.05,1091.35,1083.95,1088.3,0.003041474654377838,-0.00037655672417775287,0.01572706710212839
2003-01-17,1089.3,1090.25,1083.2,1086.5,-0.0016539557107414819,-0.00037823530366075386,0.015716785156021377
2003-01-20,1086.25,1087.0,1074.2,1076.3,-0.009387942936033176,-0.00039005906695783056,0.01570984623032703
2003-01-21,1076.3,1080.5,1074.1,1077.9,0.0014865743751743348,-0.0003875995211621134,0.015699681547466024
2003-01-22,1078.45,1086.2,1073.6,1082.9,0.004638649225345579,-0.00038102066154626567,0.01569044381293086
2003-01-23,1081.4,1083.15,1069.05,1070.9,-0.011081355619170744,-0.0003950080275039447,0.01568494368151718
2003-01-24,1070.6,1075.2,1053.4,1056.0,-0.01391353067513315,-0.00041265622939380003,0.015682297167843612
2003-01-27,1057.8,1059.35,1030.35,1037.6,-0.01742424242424251,-0.00043483561165566276,0.015684090272955913
2003-01-28,1036.35,1047.95,1026.75,1046.2,0.008288357748650865,-0.0004234772869677636,0.015677023013844316
2003-01-29,1059.8,1059.8,1033.3,1037.2,-0.008602561651691838,-0.00043411328744204713,0.015669589386361774
2003-01-30,1037.15,1050.55,1031.35,1034.6,-0.0025067489394525033,-0.00043680502205504775,0.015659575916783935
2003-01-31,1034.75,1044.25,1026.2,1041.8,0.0069592112893872475,-0.0004272122641932549,0.01565167069499028
2003-02-03,1040.25,1056.6,1036.5,1055.3,0.012958341332309465,-0.0004098734641977851,0.015648934421891515
2003-02-04,1056.55,1063.7,1050.45,1054.8,-0.000473798919738463,-0.0004099561620704121,0.015638795986398082
2003-02-05,1054.3,1054.65,1041.75,1047.4,-0.007015547971179242,-0.00041849051841293,0.015630480516712023
2003-02-06,1047.25,1065.95,1043.7,1063.6,0.015466870345617546,-0.0003979932785883745,0.01563079904411999
2003-02-07,1063.75,1065.8,1055.5,1057.5,-0.005735238811583217,-0.00040487117231646064,0.01562188636906992
2003-02-10,1058.2,1058.75,1047.15,1048.6,-0.00841607565011829,-0.0004151816027898221,0.01561446265046559
2003-02-11,1048.6,1055.8,1044.55,1048.0,-0.0005721914934197111,-0.00041538341498857515,0.015604412514005746
2003-02-12,1048.15,1051.0,1040.4,1044.4,-0.003435114503816707,-0.0004192598348715381,0.015594756061478567
2003-02-14,1044.45,1047.05,1034.1,1036.0,-0.008042895442359336,-0.0004290337266760096,0.015587133754627058
2003-02-17,1036.2,1060.5,1036.2,1058.2,0.021428571428571474,-0.0004010470363363842,0.015596761687903775
2003-02-18,1058.95,1065.15,1057.6,1059.3,0.0010395010395009535,-0.0003992049032470781,0.015586858492703992
2003-02-19,1059.3,1068.8,1059.3,1064.3,0.0047200981780421035,-0.00039266684056343934,0.015577963603919276
2003-02-20,1064.15,1071.7,1058.35,1065.6,0.0012214601146292913,-0.0003906080051614078,0.015568119543717762
2003-02-21,1065.6,1069.2,1061.1,1066.1,0.00046921921921921927,-0.0003895126838564643,0.015558217994582577
2003-02-24,1066.2,1075.5,1066.2,1070.1,0.0037519932464121566,-0.0003842435923421276,0.015549006875460101
