AMC,Scheme Name,Scheme,Scheme Type,Date,Date
,,,,min,max
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Credit Risk Fund- Segregated Portfolio 1- Direct Plan- Growth,Open Ended Schemes,Debt Scheme - Credit Risk Fund,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Credit Risk Fund- Segregated Portfolio 1- Regular Plan - Bonus,Open Ended Schemes,Debt Scheme - Credit Risk Fund,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Credit Risk Fund- Segregated Portfolio 1-Direct - IDCW,Open Ended Schemes,Debt Scheme - Credit Risk Fund,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Credit Risk Fund- Segregated Portfolio 1-Regular - IDCW,Open Ended Schemes,Debt Scheme - Credit Risk Fund,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Credit Risk Fund- Segregated Portfolio 1-Regular Plan- Growth,Open Ended Schemes,Debt Scheme - Credit Risk Fund,2019-11-25,2022-09-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dual Advantage Fund - Series 2 - Direct - IDCW,Close Ended Schemes,Income,2019-02-07,2022-04-28
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dual Advantage Fund - Series 2 - Regular - IDCW,Close Ended Schemes,Income,2019-02-07,2022-04-28
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dual Advantage Fund - Series 2 - Regular Plan - Growth,Close Ended Schemes,Income,2019-02-07,2022-04-28
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dual Advantage Fund - Series I - Direct Plan - Dividend Payout,Close Ended Schemes,Income,2016-07-01,2019-07-29
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dual Advantage Fund - Series I - Direct Plan - Growth,Close Ended Schemes,Income,2016-07-01,2019-07-29
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dual Advantage Fund - Series I - Regular Plan - Dividend Payout,Close Ended Schemes,Income,2016-07-01,2019-07-29
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dual Advantage Fund - Series I - Regular Plan - Growth,Close Ended Schemes,Income,2016-07-01,2019-07-29
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dual Advantage Fund- Series 2 - Direct Plan - Growth,Close Ended Schemes,Income,2019-02-07,2022-04-28
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,Open Ended Schemes,Debt Scheme - Dynamic Bond,2013-01-02,2022-10-07
